    name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update 
"Dr. Monika  VanSant, M.D.",,901 East Passyunk Avenue,,Philadelphia,PA,19147,,PHILADELPHIA,215-551-0200,,,,,39.9377,-75.1537,BUPREN,
"Dr. James Charles Volpe, D.O.",,1337 South 9th Street,,Philadelphia,PA,19147,,PHILADELPHIA,215-465-5491,,,,,39.932,-75.1592,BUPREN,
" Richard  Strulson, ",,3152 Princeton Avenue,,Philadelphia,PA,19149,,PHILADELPHIA,215-624-0956,,,,,40.0374,-75.0505,BUPREN,
"Dr. Joseph J. Renzi, D.O.",,1324 Ritner Street,,Philadelphia,PA,19148,,PHILADELPHIA,267-773-7311,,,,,39.9203,-75.1693,BUPREN,
"Dr. Catherine  Maturo, D.O.",,1732 Broad Street,,Philadelphia,PA,19145,,PHILADELPHIA,215-755-7595,,,,,39.9136,-75.1724,BUPREN,
" Jessica  O'Driscoll, NP",,7335 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-335-1220,,,,,40.037,-75.0393,BUPREN,
"Dr. Neil J. Mallis, M.D.",,7335 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-335-1220,,,,,40.037,-75.0393,BUPREN,
"Dr. Murray  Brand, D.O.",,7524 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-338-5200,,,,,40.0391,-75.0352,BUPREN,
" Marc  Garfield, ",,7524 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-338-5200,,,,,40.0391,-75.0352,BUPREN,
"Dr. Bennett S. Kugler, D.O.",,7524 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-338-5200,,,,,40.0391,-75.0352,BUPREN,
"Dr. James Charles Volpe, D.O.",,7044 Torresdale,,Philadelphia,PA,19135,,PHILADELPHIA,215-465-5491,,,,,40.0282,-75.0393,BUPREN,
"Dr. Alberto J. Larrieu, M.D.",,3333 Comly Road,Unit # 23,Philadelphia,PA,19154,,PHILADELPHIA,215-637-7849,,,,,40.0888,-74.9822,BUPREN,
"Dr. Neal Ira Mermelstein, D.O.",,7439 Frankford Avenue,,Philadelphia,PA,19136,,PHILADELPHIA,215-333-9484,,,,,40.042,-75.0206,BUPREN,
"Dr. Brian Kenneth Stein, D.O.",,3790 Morrell Avenue,,Philadelphia,PA,19114,,PHILADELPHIA,215-637-6901,,,,,40.0649,-74.9873,BUPREN,
