   name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,last_update,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,pvt,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,atr,fsa,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo,acc,acm,acu,add,ass,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,vo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40 
Gratitude House,,901 Sixth Avenue,,Altoona,PA,16602,,Blair,814-944-3210,,,,http://,40.5148956,-78.393792,SA,2017-07-26 16:05:04.813,1,,,,,,,,,,,,,1,,,,1,,,,1,1,1,1,,,1,,,1,,,1,,,,,,,,,1,,,,,,,,,,1,,1,,,1,,,,,1,1,1,,,,,,1,,,,,,1,1,1,,,1,,,,,1,,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,,,,,1,,,,,1,,,,1,1,,,,1,1,1,,,,,,,1,,,1,,1,1,,1,1,,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
White Deer Run,Blue Mountain,8284 Leaser Road,,Kempton,PA,19529,,Berks,610-756-1487,,,,http://www.whitedeerrun.com,40.6852103,-75.8518788,SA,2018-04-06 10:24:02.558,1,,,,,,,,1,,1,1,,,,,,,,,,1,,1,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,,,,,,,,,,1,1,1,,1,1,,1,1,,1,1,,,1,1,1,1,,,,,1,1,,,,1,,1,1,1,1,1,1,1,,1,1,1,,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
PA Treatment and Healing,,2400 Stafford Avenue,Suite 400,Scranton,PA,18505,,Lackawanna,570-344-5960,,,,http://www.pathtochange.org,41.3778738,-75.6756186,SA,2017-03-13 13:49:21,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,1,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,1,1,,,,,1,,,,,,,,1,1,1,,1,1,,1,1,,1,,1,,1,1,,,,1,1,1,,,1,,1,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Marworth,,Lily Lake Road,P.O. Box 36,Waverly,PA,18471,,Lackawanna,570-563-1112 x6031,,800-442-7722 x316,,http://www.marworth.org,41.53702,-75.702613,SA,2017-02-01 17:30:00,1,1,,,,,,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,,1,,,1,1,1,1,1,,,1,,1,,,,1,,,,,,,,,1,,,,1,,,,,,1,1,,,1,,,1,,,1,,,,,,,,,,,,,1,1,,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,,1,1,,1,,,1,1,1,,,,,,,1,,,,1,,1,1,1,1,,1,1,1,1,,1,1,,,1,,1,1,,1,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trehab Center Inc,,36 Public Avenue,,Montrose,PA,18801,,Susquehanna,570-278-3338,,,570-232-4520,http://www.trehab.org,41.833253,-75.877973,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,1,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,,1,1,1,1,,1,,1,,1,1,1,1,1,,,,,1,,,,,,,,1,1,1,,,,,,,,1,,,,1,1,,,,1,1,1,,1,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Drug and Alcohol Treatment Servs Inc,Outpatient Services,441 Wyoming Avenue,,Scranton,PA,18503,,Lackawanna,570-961-1997,,,,http://datsrecovery.org,41.4124223,-75.6616748,SA,2018-05-07 15:33:17.647,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,1,1,,1,1,,,1,,,1,,,,,1,,1,,,,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,,,,,,,1,,,,1,1,,,1,,1,1,,,,,1,,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Lourdesmont,Behavioral Health Services,326 Adams Avenue,,Scranton,PA,18503,1604,Lackawanna,570-348-6100,,570-702-8360,,http://www.lourdesmont.org,41.4087523,-75.6599476,SA,2018-05-01 11:18:54.098,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,1,1,,,,,,1,,,,1,1,,,,1,,1,,,,,1,1,,,,,,,,,,,1,1,1,,1,1,1,1,1,,,1,,1,1,1,1,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,1,,1,1,,,,1,1,1,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Better Today Inc,,1339 North Main Avenue,,Scranton,PA,18508,,Lackawanna,570-344-1444,,,,http://www.abettertoday.org,41.4313504,-75.664718,SA,2017-03-21 12:41:23,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,1,1,1,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,1,1,,,1,,1,1,1,1,1,,,,,1,,,,,,,,1,,1,,,,1,,,,1,,,,1,1,,,1,,1,1,,1,,,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol and Drug Abuse,,225 South Street,Suite 1,Ridgway,PA,15853,,Elk,814-788-2080,,,,http://,41.4202104,-78.7284554,SA,2017-10-04 16:39:32.637,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,,1,1,,1,1,,,1,1,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,1,1,1,1,1,1,,1,1,,,1,,1,1,1,1,1,,,,,1,,,1,,,,,1,1,1,,,,,,,,1,,,,1,1,,,,1,1,,,,,,1,,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
PA Treatment and Healing,,335 North 4th Street,2nd Floor,Lehighton,PA,18235,,Carbon,610-377-8870,,,,http://www.pathtochange.org,40.8376756,-75.7142803,SA,2017-03-13 13:50:19,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,1,,1,,,,,,1,1,1,1,1,,,,,1,,,,,,,,1,1,1,,,,,1,1,,,,,,,1,,,,1,1,1,,1,1,,1,,1,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Carbon/Monroe/Pike Drug and Alc,Commission Inc/Carbon County Clinic,428 South 7th Street,Suite 1,Lehighton,PA,18235,,Carbon,610-377-5177,,866-824-3578,,http://www.cmpda.cog.pa.us,40.8267112,-75.7183409,SA,2018-05-07 15:38:35.629,1,,,,,,,,,1,,,,,,,,1,,,,1,,1,,1,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,1,1,,1,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,,,,,1,,1,,,,1,1,,,,,1,,,,,1,1,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Pyramid Healthcare Inc,,2 Sellers Drive,,Altoona,PA,16603,,Blair,814-204-0066 x2205,Intakes,814-204-0066 x5201,888-694-9996,http://www.pyramidhealthcarepa.com/,40.4607419,-78.4085424,SA,2018-03-09 12:54:55.822,1,,,,,,1,,1,1,,1,,,,,,,,,,1,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,,,,,,1,,,,1,1,,,,1,1,,,1,,,1,,,,,1,,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Dolminis,,2 Sellers Drive,,Altoona,PA,16601,,Blair,814-204-0059,,,,http://www.pyramidhealthcapa.com,40.4607419,-78.4085424,SA,2017-10-04 16:42:30.222,1,,1,,,,,,,,,,1,,,,,,,1,1,1,,1,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,1,1,,,1,,,,,,,,,,,,1,1,1,,1,1,,1,1,,,1,,,1,1,1,1,,1,,,1,,,,,1,,,1,1,1,,,,,1,1,,,,,,1,1,,,,1,1,1,,,1,1,1,,1,,1,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Pater Counseling Service Inc,,511 Alleghney Street,Suite 5,Hollidaysburg,PA,16648,,Blair,814-935-1185,,,,http://,40.4304726,-78.3913894,SA,2018-01-18 14:42:59.224,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,1,1,,,1,,1,1,1,1,1,,,,,1,,,,,,,,1,,1,,,,,1,1,,1,,,,1,1,,,,1,1,,,,1,1,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery House,BC Inc,3438 Route 764,,Duncansville,PA,16635,,Blair,814-944-7000 x444,,814-944-7000,,http://www.discoveryhouse.com,40.4616904,-78.426631,SA,2018-05-09 12:28:11.898,1,1,1,,,1,,,,1,,,1,,,,,,,,1,1,,1,1,,,1,,,,1,,,,1,1,,,1,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,1,1,1,1,,1,1,1,,,1,,,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,,,1,1,,,,,,1,1,,1,,1,1,,,1,1,1,,,,,1,,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramid Healthcare Inc,,1894 Plank Road,,Duncansville,PA,16635,,Blair,814-940-0407 x1201,Intakes,814-940-0407 x7200,888-694-9996,http://www.pyramidhealthcarepa.com/,40.4456997,-78.4096834,SA,2018-03-09 12:55:02.062,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,,1,,1,1,,,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,1,,,1,1,1,1,1,,,1,1,,,1,,,1,1,1,1,,,,,1,1,,,,1,,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impact Counseling Services LLC,,413 North Montgomery Street,,Hollidaysburg,PA,16648,,Blair,814-327-5868,,,,http://,40.4294107,-78.3950398,SA,2018-07-03 14:16:00.09,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,,1,,1,1,,,1,,1,1,1,1,1,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,1,1,,,,1,1,1,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Community Guidance Center,,100 Caldwell Drive,,Du Bois,PA,15801,,Clearfield,814-371-1100,,,,http://www.thecgc.com,41.1139642,-78.7788883,SA,2018-01-30 08:58:39.019,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,1,,,,,,,,,,,1,1,,,,,,,,1,,,1,1,,,1,1,1,1,,,,1,,,,,,,1,,1,1,,1,1,1,1,1,,,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,,,1,,,,,,,1,1,,1,,1,,1,,,,,,1,1,,1,,1,,1,1,,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunmore Comprehensive Trt Center,,118 Monahan Avenue,,Scranton,PA,18512,,Lackawanna,570-344-0183,,570-344-5327,,http://www.acadiahealthcare.com,41.4310243,-75.6157833,SA,2018-07-31 14:18:57.826,1,,1,,,1,,,1,1,1,1,1,,,,,,,,1,1,,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,,,,1,,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,1,1,,,,,1,,,1,,1,,,1,1,1,,1,1,1,1,1,1,,,1,,1,1,,1,,,1,1,1,,1,1,1,,1,,1,1,1,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Caron Treatment Centers,Adolescent Primary Care Services,243 North Galen Hall Road,,Wernersville,PA,19565,,Berks,800-678-2332,Intakes,800-854-6023,610-678-2332,http://www.caron.org,40.3086044,-76.098356,SA,2017-07-31 15:14:40.792,1,1,,,,1,,1,1,1,1,1,,,,1,,,,,,1,1,1,1,,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,1,,,,,,1,1,,,1,1,,,,,,1,,,,,1,,,1,,1,1,1,1,1,,,1,1,1,,1,1,1,1,1,,,1,,1,1,1,1,1,,,,,1,1,1,1,,1,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,,1,1,,1,,1,1,1,1,,,1,,,1,,1,,,,,,,1,,,,,1,,,,,,,
Caron Treatment Centers,Adult Primary Care Services,North Galen Hall Road,P.O. Box 150,Wernersville,PA,19565,,Berks,800-678-2332,Intakes,800-854-6023,610-678-2332,http://www.caron.org,40.3089281,-76.0972989,SA,2018-05-22 12:14:44.691,1,1,,,,1,,1,1,1,1,1,,,,1,,,,,,1,1,1,1,,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,,,,1,,,,,,1,1,,,1,1,1,1,,,1,,,1,1,1,1,1,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,,,,1,1,1,1,,1,,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,,1,1,1,1,,1,,1,1,1,1,,,1,,,1,,1,,,,,,,1,,,,,1,,,,,,,
Caron Treatment Centers,Adolescent Extended Care Services,North Galen Hall Road,P.O. Box 150,Wernersville,PA,19565,,Berks,800-678-2332,Intakes,800-854-6023,610-678-2332,http://www.caron.org,40.3066972,-76.0993718,SA,2018-08-06 09:04:02.135,1,1,,,,1,,1,1,1,1,1,,,,1,,,,,,1,1,1,1,,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,1,1,,,1,1,,,,,,1,,,,,1,,,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,,,,,1,1,1,1,,1,,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,,1,1,1,1,,,1,,,1,,1,,,,,,,1,,,,,1,,,,,,,
Caron Treatment Centers,Adult Extended Care Services,North Galen Hall Road,P.O. Box 150,Wernersville,PA,19565,,Berks,800-678-2332,Intakes,800-854-6023,610-678-2332,http://www.caron.org,40.3066972,-76.0993718,SA,2018-08-06 09:04:07.636,1,1,,,,1,,1,1,1,1,1,,,,1,,,,,,1,1,1,1,,,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,1,,,,,,1,1,,,1,1,1,,,,1,,,1,1,,1,,,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,,,,1,1,1,1,,1,,1,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,1,1,,1,,,1,1,1,,,1,,,1,,1,,,,,,,1,,,,,1,,,,,,,
Gate House for Men,,649 East Main Street,,Lititz,PA,17543,,Lancaster,717-626-9524,,,,http://www.gatehouse.org,40.154403,-76.290648,SA,2017-02-01 17:30:00,1,,,,,,,,,,1,1,,1,,,,1,,,,1,,1,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,,1,,,,,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Cen Clear Child Services Inc,,601 Wilson Avenue,,Roaring Spring,PA,16673,,Blair,814-224-1380,,,,http://,40.3358556,-78.3923187,SA,2018-07-03 14:19:55.976,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,1,1,,1,1,1,,,,,1,,,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,1,1,1,1,,,,1,,1,,1,,1,1,1,1,1,,,,,1,,,,,,,1,1,1,1,,1,,,1,1,,1,,1,,1,1,,,,1,1,1,,,1,,,,1,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Project Transition,,2913 Windmill Road,,Reading,PA,19608,,Berks,610-678-8787,,215-997-9959,,http://www.projecttransition.com,40.318221,-76.008222,SA,2017-02-01 17:30:00,1,,,,,,,,,,,,,1,,,,1,,,,,1,1,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,1,,,1,1,1,1,,,,,1,,,1,,,,1,1,1,1,,,,1,,,,,,1,1,,1,,,1,1,1,1,,1,,,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Caron Counseling Services LLC,,845 North Park Road,,Reading,PA,19610,,Berks,800-678-2332,,800-678-2332 x6571,,http://www.caron.org,40.3477224,-75.9587068,SA,2018-05-07 15:40:14.997,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,1,,,1,,,,,1,1,,1,1,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,1,1,,,1,,1,1,1,1,1,,,,,1,,,1,,1,,1,1,1,1,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
White Deer Run,,1600 Mount Zion Road,,York,PA,17402,,York,717-893-5339,,,,http://,39.992209,-76.6727686,SA,2018-05-07 15:34:43.55,1,,,,,,,,1,,,1,,,,,,,,,,1,,1,1,,,1,,,1,,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,1,1,,1,1,1,1,1,,1,1,,,1,1,1,1,,,,,1,,1,,,1,,1,1,1,1,,,,,,,1,,,1,,,1,,,1,1,1,1,,,,1,1,,,,,1,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Hospital,Center for Mental Health,Kutztown University,Boehm Science Center,Kutztown,PA,19530,,Berks,484-628-8070,,,,http://reading.towerhealth.org/,40.5100878,-75.7834225,SA,2018-03-09 12:54:56.327,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,,1,,,,,1,,,,,,,,1,,,,1,,,,,,,,,1,,1,,1,,,,,,1,1,1,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,,,1,,,1,1,1,1,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,,,1,,,,1,1,,,,1,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Family Guidance Center,,1235 Penn Avenue,Suite 206,Reading,PA,19610,2100,Berks,610-374-4963 x3480,,610-374-4963,,http://www.familyguidancecenter.com,40.3335719,-75.9648747,SA,2018-01-22 12:18:43.816,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,1,1,1,,,,1,,,1,,,,1,1,,,,1,,,1,1,,1,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,,,,1,,,1,,,,1,1,,1,,,,,,,,,,1,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramid Healthcare Inc,York Pharmacotherapy Services,104 Davies Drive,,York,PA,17402,,York,717-840-2300,,717-840-2300 x4200,,http://www.pyramidhealthcarepa.com/,39.9892087,-76.6537467,SA,2018-03-09 12:55:09.224,1,,1,,,1,,,,1,,,1,,,,,,,1,1,1,1,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,,,,1,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,,,,1,,,,,1,,,1,1,1,,,1,1,1,1,,,,,,1,1,1,1,,,1,1,,,1,1,1,,1,,,1,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
White Deer Run,York at Davies Drive,106 Davies Drive,,York,PA,17402,,York,717-802-8181,,,717-840-2308,http://www.whitedeerrun.com,39.9891882,-76.6531821,SA,2018-04-06 10:33:20.673,1,1,,,,,1,1,,1,,,,,,,,,,,,1,1,1,1,,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,1,1,,,1,,,1,,,,,,,1,,,,,,1,,,1,1,,,,,1,,1,1,,,1,,,1,1,1,,1,,,1,1,,,1,,,1,1,1,1,,,,,1,,,,,1,,,1,1,1,,,,,1,1,,,,1,1,1,1,,,1,1,1,1,,1,1,1,1,,1,1,1,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
New Directions Treatment Services,,20-22 North 6th Avenue,,Reading,PA,19611,,Berks,610-478-0646 x31,Intakes,610-478-0646 x35,610-478-0646 x21,http://www.ndts.org,40.3364147,-75.9497809,SA,2017-03-13 12:52:58,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,1,1,,1,1,1,1,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,1,1,1,,,1,,,,,1,1,1,1,1,1,,1,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,1,1,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,,,,1,1,,,,1,,1,1,1,1,1,1,,,1,1,1,,,1,1,,1,1,1,1,1,1,,1,1,1,1,,,1,1,,1,1,,1,1,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Reading Hospital-Tower Health,Drug and Alcohol Center,401 Buttonwood Street,,Reading,PA,19611,,Berks,484-628-8186,,,,http://reading.towerhealth.org/,40.3376545,-75.946823,SA,2018-05-09 12:25:24.811,1,1,,,,1,1,1,1,1,1,,,,,,,,,,,1,1,1,,1,1,,,,1,,1,,1,,,,,,,,,1,,,,,,,,,1,,1,,1,,,,,,1,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,,1,1,1,1,,,,1,,,1,1,1,1,,,,,1,1,,,,,,,1,1,1,,,,,1,1,,,,,1,,1,,,1,1,1,,,,1,1,,,1,1,1,1,1,,1,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
HSA Counseling Inc,DBA Gearty and Associates Counseling,107 East Locust Street,,Ephrata,PA,17522,,Lancaster,717-733-8898,,,717-394-5334,http://geartyandskilescounseling.com/,40.1779965,-76.174358,SA,2018-06-05 12:02:50.08,1,,,,,1,1,,1,1,,1,,,,,,,,,,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,,1,,1,1,,1,,,,1,1,,,,1,1,1,,,1,1,1,,,,,1,,,1,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
NR Pennsylvania Associates LLC,Retreat at Lancaster County,1170 South State Street,,Ephrata,PA,17522,,Lancaster,717-859-8000,,,855-859-8808,http://retreataddictioncenters.com/,40.1635939,-76.1989624,SA,2018-03-09 12:55:17.641,1,1,,,,,,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,,1,,,1,1,1,,1,,,1,1,1,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,1,,,,,,1,,,,1,1,1,1,,,,,1,,,,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,,1,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
